,0,1,2,3,4,5,6,7
0,J. Harden,22200770,1610612755,1610612755,15.0,1,Philadelphia 76ers,Won
1,A. Simons,22200771,1610612757,1610612757,2.24,2,Portland Trail Blazers,Won
2,R. Williams III,22200772,1610612738,1610612738,0.35,2,Boston Celtics,Won
3,J. Smith Jr.,22200773,1610612745,1610612745,18.27,2,Houston Rockets,Won
4,D. Green,22200774,1610612744,1610612750,10.3,2,Golden State Warriors,Lost
5,K. Johnson,22200775,1610612759,1610612758,8.38,2,San Antonio Spurs,Lost
6,P. Achiuwa,22200776,1610612761,1610612762,0.0,2,Toronto Raptors,Lost
7,D. Murray,22200777,1610612737,1610612737,25.27,3,Atlanta Hawks,Won
8,B. Hield,22200778,1610612754,1610612747,1.38,2,Indiana Pacers,Lost
9,D. Garland,22200779,1610612739,1610612739,23.34,3,Cleveland Cavaliers,Won
10,J. Butler,22200780,1610612748,1610612752,10.44,2,Miami Heat,Lost
11,G. Hayward,22200781,1610612766,1610612741,16.54,2,Charlotte Hornets,Lost
12,B. Ingram,22200782,1610612740,1610612742,6.01,2,New Orleans Pelicans,Lost
13,K. Caldwell-Pope,22200783,1610612743,1610612743,2.75,2,Denver Nuggets,Won
14,K. Leonard,22200784,1610612746,1610612749,16.46,2,Los Angeles Clippers,Lost
15,B. Bogdanovic,22200785,1610612765,1610612765,1.98,2,Detroit Pistons,Won
16,M. Turner,22200786,1610612754,1610612754,15.0,1,Indiana Pacers,Won
17,B. Beal,22200787,1610612764,1610612757,0.0,2,Washington Wizards,Lost
18,J. Brown,22200788,1610612738,1610612756,26.11,3,Boston Celtics,Lost
19,D. Nix,22200789,1610612745,1610612761,2.28,2,Houston Rockets,Lost
20,R. Gobert,22200790,1610612750,1610612753,0.0,2,Minnesota Timberwolves,Lost
21,M. Branham,22200791,1610612759,1610612755,15.49,2,San Antonio Spurs,Lost
22,L. Markkanen,22200792,1610612762,1610612737,0.0,2,Utah Jazz,Lost
23,C. Kispert,22200793,1610612764,1610612751,27.13,3,Washington Wizards,Lost
24,T. Craig,22200794,1610612756,1610612756,23.79,3,Phoenix Suns,Won
25,P. George,22200795,1610612746,1610612746,24.67,3,Los Angeles Clippers,Won
26,D. Lillard,22200796,1610612757,1610612741,26.91,3,Portland Trail Blazers,Lost
27,B. Lopez,22200797,1610612749,1610612749,8.92,2,Milwaukee Bucks,Won
28,A. Davis,22200798,1610612747,1610612740,1.55,2,Los Angeles Lakers,Lost
29,S. Gilgeous-Alexander,22200799,1610612760,1610612760,0.29,2,Oklahoma City Thunder,Won
30,K. Looney,22200800,1610612744,1610612744,0.0,2,Golden State Warriors,Won
31,K. Caldwell-Pope,22200801,1610612743,1610612743,15.0,1,Denver Nuggets,Won
32,M. Plumlee,22200802,1610612766,1610612753,0.78,2,Charlotte Hornets,Lost
33,T. Haliburton,22200803,1610612754,1610612739,26.25,3,Indiana Pacers,Lost
34,J. Brunson,22200804,1610612752,1610612752,15.0,1,New York Knicks,Won
35,D. Bane,22200805,1610612763,1610612761,24.27,3,Memphis Grizzlies,Lost
36,A. Edwards,22200806,1610612750,1610612750,14.01,2,Minnesota Timberwolves,Won
37,C. McCollum,22200807,1610612740,1610612740,2.77,2,New Orleans Pelicans,Won
38,A. Burks,22200808,1610612765,1610612738,20.23,2,Detroit Pistons,Lost
